stationId,latitude,longitude,year,month,day,AQI,Notes
Aotizhongxin,0,0,2019,1,13,282.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,13,282.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,13,282.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,13,282.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,13,282.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,13,282.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,13,282.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,14,201.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,14,201.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,14,201.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,14,201.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,14,201.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,14,201.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,14,201.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,15,207.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,15,207.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,15,207.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,15,207.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,15,207.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,15,207.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,15,207.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,16,61.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,16,61.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,16,61.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,16,61.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,16,61.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,16,61.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,16,61.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,17,118.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,17,118.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,17,118.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,17,118.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,17,118.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,17,118.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,17,118.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,18,122.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,18,122.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,18,122.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,18,122.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,18,122.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,18,122.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,18,122.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,19,163.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,19,163.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,19,163.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,19,163.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,19,163.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,19,163.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,19,163.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,20,52.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,20,52.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,20,52.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,20,52.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,20,52.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,20,52.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,20,52.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,21,48.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,21,48.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,21,48.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,21,48.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,21,48.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,21,48.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,21,48.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,22,85.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,22,85.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,22,85.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,22,85.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,22,85.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,22,85.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,22,85.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,23,93.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,23,93.0,Aotizhongxin
